Column1,Column2,Number
3.11E+00,-2.46E+01,309
3.45E+01,-1.53E+02,310
9.96E+00,2.76E+01,311
4.07E+01,-1.68E+02,312
-1.20E+01,1.21E+00,313
-7.38E+01,2.58E+02,314
5.91E+01,-1.82E+02,315
-1.03E+02,7.01E+00,316
6.85E+01,-2.15E+02,317
3.27E+01,-2.15E+02,318
9.52E+00,-8.30E+01,319
-9.91E+00,5.89E+01,320
4.96E+01,-2.16E+02,321
8.80E+01,4.46E+01,322
4.36E+01,-2.66E+02,323
-7.62E+01,-7.78E+01,324
1.70E+01,-1.92E+02,325
1.65E+00,-6.21E+01,326
1.80E+01,-5.93E+01,327
7.78E+01,5.66E+01,328
2.77E+01,-5.88E+01,329
5.75E+01,5.36E+01,330
6.41E+01,-1.09E+02,331
7.76E+01,-1.38E+00,332
-1.11E+02,9.70E+01,333
-1.53E+02,2.12E+02,334
6.92E+00,-1.72E+02,335
-5.21E+00,-3.03E+01,336
-2.63E+01,7.96E+01,337
-1.03E+01,-1.56E+02,338
-4.84E+01,3.75E+01,339
-7.66E+01,1.50E+02,340
-4.34E+01,-4.00E+01,341
-4.27E+01,-4.07E+01,342
-1.29E+01,-4.24E+01,343
-2.21E+01,-4.33E+01,344
-2.94E+01,-4.34E+01,345
2.89E+01,-1.46E+02,346
1.85E+01,3.39E+01,347
3.98E+01,-1.48E+02,348
-6.75E+01,1.93E+01,349
-6.00E+01,1.36E+02,350
7.42E+01,-3.68E+01,351
9.92E+01,7.92E+01,352
1.72E+01,-1.43E+02,353
1.90E+01,2.90E+01,354
-7.90E+01,1.43E+02,355
7.69E+01,4.38E+01,356
-3.20E+01,-1.21E+02,357
-3.88E+01,3.20E+01,358
6.27E+00,-8.24E+01,359
-3.02E+01,-1.66E+02,360
-3.23E+00,-1.05E+02,361
-2.56E+01,8.92E+01,362
4.00E+01,-1.06E+02,363
-3.35E+01,4.34E+01,364
2.76E+01,-1.37E+02,365
-8.17E-01,5.90E+01,366
-6.10E+00,1.71E+02,367
-2.87E+01,2.04E+01,368
-1.14E+01,2.36E+01,369
-9.98E+00,2.40E+00,370
7.33E+00,4.26E+00,371
3.93E+00,-1.62E+02,372
1.27E+01,3.43E+01,373
3.92E+01,-1.36E+02,374
1.32E+01,3.77E+01,375
1.47E+01,-1.50E+02,376
3.00E+01,7.65E+01,377
5.64E+01,-8.31E+01,378
3.32E+01,6.86E+01,379
-2.09E+01,-9.11E+01,380
3.45E+01,7.07E+01,381
-2.40E+01,-2.64E+02,382
6.51E+00,1.24E+02,383
-8.55E-01,-1.83E+01,384
4.99E+01,8.25E+00,385
-2.43E+00,-1.56E+02,386
-4.97E+00,2.10E+01,387
-6.45E+01,1.34E+02,388
8.45E+01,-1.46E+02,389
-9.28E+01,9.58E+00,390
2.39E+01,2.66E+01,391
-6.56E+00,-1.34E+01,392
-3.04E+01,2.97E+01,393
-8.55E+01,1.39E+02,394
7.19E+01,-1.91E+02,395
1.24E+01,-1.48E+02,396
-8.66E+00,4.61E+01,397
-3.96E+01,1.58E+02,398
3.97E+01,-1.58E+02,399
2.33E+01,-2.73E+01,400
9.07E+00,1.07E+02,401
4.70E+01,-9.35E+01,402
2.27E+01,5.80E+01,403
2.64E+01,5.92E+01,404
6.10E+01,5.70E+01,405
-4.01E+01,-1.22E+02,406
2.72E+01,-1.48E+02,407
3.34E+01,-1.49E+01,408
-3.97E+01,1.80E+02,409
-3.29E+01,2.90E+02,410
5.17E+01,-1.44E+02,411
3.20E+01,-1.51E+01,412
1.53E+01,1.87E+02,413
2.83E+00,2.94E+02,414
-1.29E+02,1.51E+02,415
1.01E+02,1.76E+02,416
7.40E+01,1.69E+02,417
-2.63E+01,1.84E+02,418
-8.28E+00,2.94E+02,419
-4.58E+01,1.80E+02,420
-5.63E+01,2.89E+02,421
-3.47E+01,2.60E+02,422
-2.56E+01,3.73E+02,423
2.09E+00,2.61E+02,424
-3.12E+01,3.72E+02,425
-5.45E+01,2.68E+02,426
-7.38E+01,3.77E+02,427
-1.73E+01,1.79E+02,428
-1.31E+02,1.74E+02,429
-1.84E+02,1.70E+02,430
8.20E+01,1.94E+02,431
-1.12E+02,1.72E+02,432
3.39E+01,-1.25E+02,433
3.58E+01,-3.11E+01,434
2.04E+01,1.02E+02,435
-1.95E+00,-1.39E+02,436
-1.90E+01,-3.65E+01,437
-4.28E+01,1.06E+02,438
1.72E+01,-1.31E+02,439
1.05E+01,-3.33E+01,440
1.32E+00,1.09E+02,441
4.87E-01,-2.10E+02,442
-1.57E+01,-1.07E+02,443
-4.70E+01,4.87E+01,444
3.14E+01,-2.01E+02,445
-1.23E+00,-2.96E+01,446
3.44E+01,-2.61E+02,447
-6.12E-01,-5.81E+01,448
1.53E+01,-1.89E+02,449
-5.21E-01,-7.98E+01,450
-9.95E+00,9.83E+01,451
-6.24E+00,-1.74E+02,452
-5.23E+01,8.76E+01,453
-5.94E+01,-1.01E+02,454
-9.35E+01,5.71E+01,455
-6.12E+01,-1.02E+02,456
1.20E+02,7.56E+01,457
2.63E+01,-2.30E+02,458
4.54E+01,-9.70E+00,459
4.61E+01,-9.30E+00,460
4.16E+01,-9.75E+00,461
-2.09E+01,-1.52E+01,462
-5.70E+00,-2.13E+02,463
3.71E+01,4.50E+01,464
-3.72E+01,-4.09E+01,465
-2.85E+01,-1.20E+02,466
-6.01E+01,5.85E+01,467
2.41E+01,-1.76E+02,468
-1.73E+01,1.19E+01,469
2.97E+01,-1.19E+02,470
3.37E+01,4.50E+01,471
-4.69E+01,4.45E+01,472
-2.77E+01,-1.01E+02,473
-9.06E+01,5.72E+01,474
-1.81E+01,-9.67E+01,475
-2.83E+01,4.43E+01,476
-8.26E+01,1.53E+02,477
-5.88E+01,6.04E+01,478
-5.92E+01,7.43E+01,479
-2.15E+01,-1.41E+02,480
-4.03E+01,1.11E+01,481
1.49E+01,-1.66E+02,482
-7.69E+00,-1.19E+02,483
-1.56E+01,4.44E+01,484
8.26E+01,-1.42E+02,485
5.63E+01,7.86E+01,486
8.81E+01,-1.51E+02,487
6.61E+01,-1.34E+02,488
-3.85E+01,-2.50E+02,489
-4.30E+01,-3.30E+01,490
5.15E+01,6.07E+01,491
2.31E+01,-1.48E+02,492
-9.97E+00,-3.05E+01,493
-1.37E+01,1.83E+02,494
-2.39E+01,2.93E+02,495
-9.07E+01,-6.39E+01,496
9.47E-01,-1.67E+02,497
-3.90E+01,9.83E+01,498
-6.73E+01,2.09E+02,499
4.73E+01,-1.11E+02,500
4.38E+01,1.05E+02,501
4.83E+01,-1.12E+02,502
-8.70E+00,7.06E+01,503
4.18E+00,-1.49E+02,504
-2.25E+01,5.75E+01,505
1.28E+01,2.12E+01,506
2.12E+00,-1.16E+02,507
-1.49E+01,2.29E+01,508
-6.20E+01,-1.08E+02,509
1.55E+01,-1.10E+02,510
-4.63E-01,6.43E+01,511
3.34E+01,1.87E+02,512
-7.47E+01,7.31E+01,513
2.32E+01,1.22E+02,514
2.65E+01,9.16E+01,515
7.66E+01,1.20E+02,516
4.11E+01,1.20E+02,517
-3.32E+01,1.15E+02,518
-3.41E+01,1.17E+02,519
1.32E+01,1.32E+02,520
-4.17E+01,8.57E+01,521
3.04E+01,1.07E+02,522
2.66E+01,1.12E+02,523
3.25E+01,8.82E+01,524
6.13E+00,1.12E+02,525
-4.81E+01,1.10E+02,526
6.57E-01,9.83E+01,527
-1.59E+01,2.14E+02,528
9.51E+01,1.10E+02,529
7.47E+01,1.10E+02,530
-3.73E+01,4.33E+01,531
-3.62E+01,-8.33E-01,532
-2.28E+01,9.86E+01,533
-2.28E+01,9.86E+01,534
-2.28E+01,9.86E+01,535
-2.28E+01,9.86E+01,536
-2.28E+01,9.86E+01,537
3.30E+01,1.65E+02,538
-6.93E+00,1.59E+02,539
-6.24E+01,1.57E+02,540
-2.91E+01,2.69E+02,541
-4.44E+01,2.67E+02,542
-7.06E+00,1.84E+02,543
5.36E+00,2.61E+02,544
2.25E+01,2.71E+02,545
-1.00E+01,2.71E+02,546
4.00E+01,1.85E+02,547
-8.94E+00,4.60E+01,548
-1.84E+01,1.78E+02,549
-6.18E+01,1.78E+02,550
-1.86E+01,1.78E+02,551
-6.15E+01,1.76E+02,552
-2.13E+01,3.09E+02,553
-1.77E+01,1.79E+02,554
3.53E+00,-1.40E+02,555
-8.02E+00,-2.73E+01,556
-3.31E+01,9.94E+01,557
1.70E+01,-1.39E+02,558
1.09E+01,-1.92E+01,559
-8.59E+00,1.10E+02,560
9.84E+00,-1.39E+02,561
2.34E-02,-2.56E+01,562
-1.07E+01,1.04E+02,563
2.05E+01,-1.96E+02,564
-5.27E+00,-1.85E+01,565
1.39E+01,-1.77E+02,566
1.73E+01,-7.12E+01,567
1.11E+01,7.29E+01,568
-6.08E+00,-1.71E+02,569
-4.86E+01,4.76E+00,570
-4.85E-01,-1.31E+02,571
-3.95E+01,6.52E+01,572
-3.95E-01,-1.31E+02,573
-3.95E+01,6.52E+01,574
-3.16E-01,-1.31E+02,575
-3.94E+01,6.52E+01,576
3.12E+01,-1.62E+02,577
6.63E+01,6.23E+01,578
2.45E+01,-1.87E+02,579
3.47E+00,-8.53E+01,580
-2.54E+01,5.52E+01,581
-1.82E+01,-1.57E+02,582
-4.88E+01,6.19E+01,583
7.42E+01,-1.64E+02,584
7.23E+01,-4.43E+01,585
-8.18E+01,8.58E+01,586
-1.02E+01,-1.36E+02,587
-4.94E+01,-1.94E+01,588
-1.55E+01,-1.21E+02,589
3.50E+01,9.05E+01,590
3.59E+01,1.06E+01,591
