Date,BMeasurement,Units,BAQI,BCity,BLat,BLon,Type,CMeasurement,CAQI,CCity,CLat,CLon,LMeasurement,LAQI,LCity,LLat,LLon,AMeasurement,AAQI,ACity,ALat,ALon
2/16/2016,0.6,ppm,7,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,1.3,15,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/17/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.4,5,"Chicago, IL",42.13999619,-87.79922692,1.1,13,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/18/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/19/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.5,6,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/20/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/21/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.4,5,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/22/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,1,11,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/23/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/24/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/25/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/26/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/27/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,1,11,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/28/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
2/29/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,1.1,13,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/1/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/2/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/3/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.6,7,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/4/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/5/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.3,3,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/6/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/7/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
3/8/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
