Year,Make,Model,Quantity,Country
2011,Skoda ,Skoda Octavia,357,Germany
2011,Skoda ,Skoda Octavia,257,Germany
2011,Skoda ,Skoda Octavia,321,Germany
2012,Skoda ,Skoda Octavia,219,Germany
2012,Skoda ,Skoda Octavia,210,Germany
2012,Skoda ,Skoda Octavia,297,Germany
2012,Skoda ,Skoda Octavia,220,Germany
2012,Skoda ,Skoda Octavia,274,Germany
2012,Skoda ,Skoda Octavia,356,Germany
2012,Skoda ,Skoda Octavia,217,Germany
2012,Skoda ,Skoda Octavia,179,Germany
2012,Skoda ,Skoda Octavia,255,Germany
2012,Skoda ,Skoda Octavia,190,Germany
2012,Skoda ,Skoda Octavia,252,Germany
2013,Skoda ,Skoda Octavia,243,Germany
2013,Skoda ,Skoda Octavia,252,Germany
2013,Skoda ,Skoda Octavia,187,Germany
2013,Skoda ,Skoda Octavia,184,Germany
2013,Skoda ,Skoda Octavia,236,Germany
2013,Skoda ,Skoda Octavia,324,Germany
2013,Skoda ,Skoda Octavia,444,Germany
2013,Skoda ,Skoda Octavia,540,Germany
2013,Skoda ,Skoda Octavia,524,Germany
2013,Skoda ,Skoda Octavia,510,Germany
2014,Skoda ,Skoda Octavia,378,Germany
2014,Skoda ,Skoda Octavia,308,Germany
2014,Skoda ,Skoda Octavia,301,Germany
2014,Skoda ,Skoda Octavia,398,Germany
2014,Skoda ,Skoda Octavia,412,Germany
2014,Skoda ,Skoda Octavia,381,Germany
2014,Skoda ,Skoda Octavia,336,Germany
2014,Skoda ,Skoda Octavia,354,Germany
2014,Skoda ,Skoda Octavia,323,Germany
2014,Skoda ,Skoda Octavia,483,Germany
2014,Skoda ,Skoda Octavia,361,Germany
2014,Skoda ,Skoda Octavia,392,Germany
2015,Skoda ,Skoda Octavia,289,Germany
2015,Skoda ,Skoda Octavia,362,Germany
2015,Skoda ,Skoda Octavia,411,Germany
2015,Skoda ,Skoda Octavia,460,Germany
2015,Skoda ,Skoda Octavia,329,Germany
2015,Skoda ,Skoda Octavia,358,Germany
2015,Skoda ,Skoda Octavia,343,Germany
2015,Skoda ,Skoda Octavia,372,Germany
2015,Skoda ,Skoda Octavia,311,Germany
2015,Skoda ,Skoda Octavia,386,Germany
2015,Skoda ,Skoda Octavia,310,Germany
2015,Skoda ,Skoda Octavia,349,Germany
2016,Skoda ,Skoda Octavia,213,Germany
2016,Skoda ,Skoda Octavia,399,Germany
2016,Skoda ,Skoda Octavia,285,Germany
2016,Skoda ,Skoda Octavia,383,Germany
2016,Skoda ,Skoda Octavia,344,Germany
2016,Skoda ,Skoda Octavia,328,Germany
2016,Skoda ,Skoda Octavia,301,Germany
2016,Skoda ,Skoda Octavia,270,Germany
2016,Skoda ,Skoda Octavia,315,Germany
2016,Skoda ,Skoda Octavia,322,Germany
2016,Skoda ,Skoda Octavia,348,Germany
2016,Skoda ,Skoda Octavia,287,Germany
2013,Skoda ,Skoda Rapid,63,Germany
2012,Skoda ,Skoda Superb,127,Germany
2012,Skoda ,Skoda Superb,131,Germany
2013,Skoda ,Skoda Superb,112,Germany
2013,Skoda ,Skoda Superb,64,Germany
2015,Skoda ,Skoda Superb,55,Germany
2015,Skoda ,Skoda Superb,61,Germany
2016,Skoda ,Skoda Superb,186,Germany
2016,Skoda ,Skoda Superb,218,Germany
2016,Skoda ,Skoda Superb,188,Germany
2016,Skoda ,Skoda Superb,186,Germany
2016,Skoda ,Skoda Superb,217,Germany
2016,Skoda ,Skoda Superb,168,Germany
2016,Skoda ,Skoda Superb,148,Germany
2016,Skoda ,Skoda Superb,122,Germany
2016,Skoda ,Skoda Superb,167,Germany
2016,Skoda ,Skoda Superb,167,Germany
2016,Skoda ,Skoda Superb,148,Germany
2016,Skoda ,Skoda Superb,97,Germany
2013,Skoda ,Skoda Yeti,65,Germany
2013,Subaru ,Subaru Forester,134,U.S.A
2012,Subaru ,Subaru XV,182,U.S.A
2012,Subaru ,Subaru XV,263,U.S.A
2012,Subaru ,Subaru XV,272,U.S.A
2012,Subaru ,Subaru XV,319,U.S.A
2012,Subaru ,Subaru XV,212,U.S.A
2012,Subaru ,Subaru XV,168,U.S.A
2012,Subaru ,Subaru XV,80,U.S.A
2011,Suzuki ,Suzuki Swift,199,Japan
2011,Suzuki ,Suzuki Swift,124,Japan
2011,Suzuki ,Suzuki Swift,212,Japan
2011,Suzuki ,Suzuki Swift,128,Japan
2011,Suzuki ,Suzuki Swift,101,Japan
2012,Suzuki ,Suzuki Swift,158,Japan
2010,Suzuki ,Suzuki SX4,164,Japan
2011,Suzuki ,Suzuki SX4,171,Japan
2013,Suzuki ,Suzuki SX4,132,Japan
2013,Suzuki ,Suzuki SX4,211,Japan
2014,Suzuki ,Suzuki SX4,314,Japan
2014,Suzuki ,Suzuki SX4,209,Japan
2014,Suzuki ,Suzuki SX4,168,Japan
2014,Suzuki ,Suzuki SX4,165,Japan
2014,Suzuki ,Suzuki SX4,163,Japan
2014,Suzuki ,Suzuki SX4,135,Japan
2014,Suzuki ,Suzuki SX4,174,Japan
2014,Suzuki ,Suzuki SX4,142,Japan
2014,Suzuki ,Suzuki SX4,196,Japan
2014,Suzuki ,Suzuki SX4,208,Japan
2014,Suzuki ,Suzuki SX4,150,Japan
